國文,英文,數學,社會,自然
15,9,11,12,9
15,7,6,9,12
7,9,14,10,12
15,6,15,12,11
13,11,10,14,14
12,8,9,8,11
10,7,10,8,11
13,15,6,13,10
14,15,6,9,12
6,12,15,7,12
10,15,12,9,15
9,15,15,12,13
13,13,13,7,8
13,7,11,9,11
6,14,11,7,6
15,7,15,14,11
12,15,15,13,6
9,6,9,15,13
8,14,11,12,12
15,7,6,12,6
8,10,6,13,13
8,14,10,10,6
8,8,9,15,7
12,10,12,7,13
15,11,14,6,12
14,11,6,8,7
9,9,11,11,11
10,7,6,9,8
6,6,6,8,12
7,15,13,10,9
7,12,6,7,13
12,6,11,10,10
11,8,14,11,13
9,12,15,6,9
15,9,9,10,15
13,10,6,11,15
12,6,8,10,9
8,6,9,7,10
12,14,10,9,8
11,6,13,8,12
7,8,11,11,9
15,14,9,12,6
6,9,6,9,10
8,12,8,6,8
7,15,8,10,13
7,15,11,15,6
12,15,8,9,14
11,6,15,11,8
12,10,14,9,15
7,6,9,6,7
7,8,9,9,12
8,12,15,10,8
11,8,10,8,8
15,10,9,6,12
13,12,11,10,8
9,8,13,8,10
9,10,15,8,7
13,11,6,7,11
14,8,15,14,10
7,8,8,11,12
14,6,7,15,13
10,14,10,9,12
15,12,8,7,15
11,9,9,9,7
14,10,14,13,14
6,15,10,9,12
6,15,10,13,8
15,13,12,15,14
9,8,7,7,6
12,10,11,7,14
6,7,7,14,14
10,13,13,12,7
9,12,11,13,9
13,14,9,15,6
15,14,12,6,12
13,8,13,9,6
11,15,14,8,12
7,14,14,8,7
12,10,9,10,14
14,12,7,11,13
6,14,6,14,9
7,7,6,6,13
12,11,12,11,7
6,8,10,11,7
9,15,10,6,10
14,11,14,14,12
11,9,12,8,6
10,9,11,8,15
10,6,9,10,14
7,7,8,8,8
14,6,9,9,6
11,6,14,9,6
13,15,10,10,10
12,8,10,7,8
12,13,12,14,6
11,15,7,12,7
7,6,15,14,15
13,9,12,11,15
15,14,14,13,15
14,8,14,14,10
